Time (s),Heat Flow (J/s)
0,19.998334
1.00002,19.996797
1.99998,19.995224
3,19.993595
4.00002,19.991873
4.99998,19.990337
6,19.988837
7.00002,19.987652
7.99998,19.986671
9,19.985616
10.00002,19.98482
10.99998,19.98408
12,19.983376
13.00002,19.98295
13.99998,19.982413
15,19.981877
16.00002,19.981562
16.99998,19.981395
18,19.98121
19.00002,19.980988
19.99998,19.980784
21,19.980692
22.00002,19.980544
22.99998,19.980359
24,19.980099
25.00002,19.979988
25.99998,19.979809
27,19.979661
28.00002,19.979643
28.99998,19.979556
30,19.979575
31.00002,19.980111
31.99998,19.980796
33,19.981722
34.00002,19.982648
34.99998,19.983814
36,19.985128
37.00002,19.986591
37.99998,19.988405
39,19.990478
40.00002,19.992496
40.99998,19.994286
42,19.996285
43.00002,19.997803
43.99998,19.998821
45,19.999784
46.00002,20.00045
46.99998,20.000555
48,20.000703
49.00002,20.000833
49.99998,20.00074
51,20.000352
52.00002,19.999741
52.99998,19.998686
54,19.997501
55.00002,19.996254
55.99998,19.995014
57,19.993737
58.00002,19.992422
58.99998,19.991164
60,19.990226
60.19998,19.98996
60.40002,19.989701
60.6,19.989424
60.79998,19.989127
61.00002,19.988794
61.2,19.988424
61.39998,19.987998
61.60002,19.987591
61.8,19.987147
61.99998,19.986739
62.20002,19.986314
62.4,19.985869
62.59998,19.985443
62.80002,19.984999
63,19.984536
63.19998,19.984055
63.40002,19.983555
63.6,19.983043
63.79998,19.9825
64.00002,19.981982
64.2,19.981463
64.39998,19.980964
64.60002,19.980519
64.8,19.980081
64.99998,19.979686
65.20002,19.979285
65.4,19.978835
65.59998,19.978298
65.80002,19.977761
66,19.977274
66.19998,19.976823
66.40002,19.976373
66.6,19.975775
66.79998,19.974911
67.00002,19.973961
67.2,19.973197
67.39998,19.972241
67.60002,19.970846
67.8,19.969378
67.99998,19.96746
68.20002,19.964955
68.4,19.962006
68.59998,19.959033
68.80002,19.956361
69,19.953906
69.19998,19.95142
69.40002,19.948805
69.6,19.945739
69.79998,19.942137
70.00002,19.937152
70.2,19.930132
70.39998,19.924272
70.60002,19.918116
70.8,19.910337
70.99998,19.902497
71.20002,19.895976
71.4,19.889321
71.59998,19.882468
71.80002,19.875702
72,19.869293
72.19998,19.862009
72.40002,19.854504
72.6,19.844616
72.79998,19.835315
73.00002,19.823665
73.2,19.813477
73.39998,19.803349
73.60002,19.793216
73.8,19.782733
73.99998,19.772032
74.20002,19.762011
74.4,19.750584
74.59998,19.737826
74.80002,19.725183
75,19.712776
75.19998,19.700073
75.40002,19.687112
75.6,19.673878
75.79998,19.660751
76.00002,19.647772
76.2,19.634793
76.39998,19.621667
76.60002,19.608582
76.8,19.594216
76.99998,19.578723
77.20002,19.56297
77.4,19.547163
77.59998,19.531171
77.80002,19.515719
78,19.500874
78.19998,19.48418
78.40002,19.466617
78.6,19.449424
78.79998,19.432491
79.00002,19.415188
79.2,19.397629
79.39998,19.379901
79.60002,19.361822
79.8,19.343466
79.99998,19.324778
80.20002,19.306404
80.4,19.288013
80.59998,19.269603
80.80002,19.251009
81,19.232158
81.19998,19.213084
81.40002,19.193529
81.6,19.172772
81.79998,19.152386
82.00002,19.132241
82.2,19.111874
82.39998,19.090861
82.60002,19.070106
82.8,19.049149
82.99998,19.028285
83.20002,19.007403
83.4,18.986465
83.59998,18.965492
83.80002,18.944611
84,18.923564
84.19998,18.902332
