Time (s),Heat Flow (mJ/s)
0,19.963087
0.19998,19.925538
0.40002,19.88787
0.6,19.850639
0.79998,19.81305
1.00002,19.775322
1.2,19.737674
1.39998,19.701615
1.60002,19.667702
1.8,19.633392
1.99998,19.598525
2.20002,19.5634
2.4,19.528294
2.59998,19.493845
2.80002,19.459812
3,19.4257
3.19998,19.391469
3.40002,19.357556
3.6,19.324199
3.79998,19.291498
4.00002,19.259055
4.2,19.226413
4.39998,19.194725
4.60002,19.162818
4.8,19.131528
4.99998,19.099939
5.20002,19.06841
5.4,19.03696
5.59998,19.006067
5.80002,18.975312
6,18.944856
6.19998,18.914261
6.40002,18.883526
6.6,18.853447
6.79998,18.823726
7.00002,18.794422
7.2,18.765575
7.39998,18.738119
7.60002,18.710225
7.8,18.681914
7.99998,18.653961
8.20002,18.625889
8.4,18.598115
8.59998,18.570718
8.80002,18.54348
9,18.516242
9.19998,18.488846
9.40002,18.461826
9.6,18.435224
9.79998,18.40898
10.00002,18.382656
10.2,18.356868
10.39998,18.33114
10.60002,18.305651
10.8,18.280697
10.99998,18.255526
11.20002,18.23103
11.4,18.207606
11.59998,18.184123
11.80002,18.159925
12,18.135727
12.19998,18.111529
12.40002,18.087231
12.6,18.063192
12.79998,18.039272
13.00002,18.015888
13.2,17.994074
13.39998,17.972061
13.60002,17.949572
13.8,17.926903
13.99998,17.904036
14.20002,17.881348
14.4,17.859137
14.59998,17.837561
14.80002,17.816204
15,17.794648
15.19998,17.772854
15.40002,17.751357
15.6,17.730258
15.79998,17.709219
16.00002,17.688239
16.2,17.667319
16.39998,17.646995
16.60002,17.626453
16.8,17.607003
16.99998,17.588328
17.20002,17.569096
17.4,17.549726
17.59998,17.530296
17.80002,17.511024
18,17.491932
18.19998,17.473098
18.40002,17.454463
18.6,17.435807
18.79998,17.417053
19.00002,17.398398
19.2,17.380557
19.39998,17.363213
19.60002,17.345909
19.8,17.328406
19.99998,17.310764
20.20002,17.293181
20.4,17.275559
20.59998,17.258175
20.80002,17.240871
21,17.223805
21.19998,17.207196
21.40002,17.190647
21.6,17.174217
21.79998,17.157747
22.00002,17.141237
22.2,17.124648
22.39998,17.108159
22.60002,17.091947
22.8,17.075934
22.99998,17.06014
23.20002,17.044385
23.4,17.028611
23.59998,17.013213
23.80002,16.997816
24,16.982459
24.19998,16.96732
24.40002,16.952261
24.6,16.937222
24.79998,16.922262
25.00002,16.907381
25.2,16.89256
25.39998,16.877938
25.60002,16.863375
25.8,16.848952
25.99998,16.835244
26.20002,16.821694
26.4,16.807887
26.59998,16.794019
26.80002,16.780351
27,16.766662
27.19998,16.753629
27.40002,16.740815
27.6,16.727862
27.79998,16.714948
28.00002,16.702074
28.2,16.689101
28.39998,16.676426
28.60002,16.664207
28.8,16.651989
28.99998,16.639751
29.20002,16.627592
29.4,16.615294
29.59998,16.603056
29.80002,16.590818
30,16.578461
30.19998,16.566183
30.40002,16.554124
30.6,16.542064
30.79998,16.529985
31.00002,16.517985
31.2,16.506085
31.39998,16.494363
31.60002,16.482622
31.8,16.471278
31.99998,16.46045
32.20002,16.44992
32.4,16.439172
32.59998,16.428384
32.80002,16.417676
33,16.407226
33.19998,16.396915
33.40002,16.386644
33.6,16.376372
33.79998,16.366121
34.00002,16.35581
34.2,16.345558
34.39998,16.335347
34.60002,16.325274
34.8,16.315042
34.99998,16.30485
35.20002,16.294778
35.4,16.284646
35.59998,16.274613
35.80002,16.264798
36,16.255063
36.19998,16.245329
36.40002,16.235693
36.6,16.226157
36.79998,16.216621
37.00002,16.207045
37.2,16.197866
37.39998,16.189065
37.60002,16.180582
37.8,16.172277
37.99998,16.164132
38.20002,16.155867
38.4,16.147562
38.59998,16.139099
38.80002,16.130834
39,16.12253
39.19998,16.114325
39.40002,16.106119
39.6,16.097914
39.79998,16.089729
40.00002,16.081544
40.2,16.073398
40.39998,16.065352
40.60002,16.057246
40.8,16.049081
40.99998,16.040935
41.20002,16.03281
41.4,16.024744
41.59998,16.016856
41.80002,16.009029
42,16.0014
42.19998,15.99393
42.40002,15.986519
42.6,15.979149
42.79998,15.971758
43.00002,15.964487
43.2,15.957414
43.39998,15.950321
43.60002,15.943229
43.8,15.936216
43.99998,15.929242
44.20002,15.922309
44.4,15.915335
44.59998,15.908302
44.80002,15.901329
45,15.894375
45.19998,15.887462
45.40002,15.880588
45.6,15.873773
45.79998,15.866959
46.00002,15.860065
46.2,15.853191
46.39998,15.846555
46.60002,15.840178
46.8,15.834257
46.99998,15.828397
47.20002,15.822456
47.4,15.816397
47.59998,15.810417
47.80002,15.804457
48,15.798497
48.19998,15.792477
48.40002,15.786556
48.6,15.780775
48.79998,15.775034
49.00002,15.769312
49.2,15.76357
49.39998,15.757908
49.60002,15.752325
49.8,15.746723
49.99998,15.7411
50.20002,15.735498
50.4,15.730054
50.59998,15.72465
50.80002,15.719306
51,15.713962
51.19998,15.708697
51.40002,15.703492
51.6,15.698307
51.79998,15.693121
52.00002,15.687956
52.2,15.68281
52.39998,15.677645
52.60002,15.672519
52.8,15.667513
52.99998,15.662506
53.20002,15.65744
53.4,15.652414
53.59998,15.647387
53.80002,15.642321
54,15.637175
54.19998,15.63207
54.40002,15.627023
54.6,15.621937
54.79998,15.616831
55.00002,15.611805
55.2,15.606918
55.39998,15.602408
55.60002,15.598097
55.8,15.593984
55.99998,15.589713
56.20002,15.585402
56.4,15.581031
56.59998,15.57664
56.80002,15.572389
57,15.568157
57.19998,15.563945
57.40002,15.559733
57.6,15.555541
57.79998,15.551449
58.00002,15.547336
58.2,15.543144
58.39998,15.539071
58.60002,15.535058
58.8,15.530946
58.99998,15.526813
59.20002,15.522761
59.4,15.518827
59.59998,15.514853
59.80002,15.511019
60,15.507224
60.19998,15.501681
60.40002,15.498125
60.6,15.494629
60.79998,15.491112
61.00002,15.487576
61.2,15.48396
61.39998,15.480324
61.60002,15.476649
61.8,15.472954
61.99998,15.469278
62.20002,15.465643
62.4,15.462027
62.59998,15.458411
62.80002,15.454795
63,15.451199
63.19998,15.447603
63.40002,15.443987
63.6,15.440411
63.79998,15.436835
64.00002,15.433239
64.2,15.429604
64.39998,15.425948
64.60002,15.422292
64.8,15.418617
64.99998,15.414942
65.20002,15.411246
65.4,15.407571
65.59998,15.403955
65.80002,15.400319
66,15.396715
66.19998,15.393158
66.40002,15.389573
66.6,15.386088
